   [paribhāṣā]	[pariBAzA]
   vibhājitāyās/	viBAjita-AyAs/
   Lil_156c/ tāla-ucchrites tāla-saras-antara-ghnyās uḍḍīna-mānam khalu	Lit-_156c/ tAla-ucCriteH tAla--saras-antara--GnyAH uxxIna-mAnam Kalu
   @labhyate tat// [āpaṭe: khala < khalu]	@laByate tat// [Apawe: Kala < Kalu]
   Lil_156p/ udāharaṇam/	Lit-_156p/ udAharaNam/
   Lil_157a/ vṛkṣāt hasta-%śata-ucchrayāt %śata-#yuge vāpīm kapis kas api	Lit-_157a/ vRkzAt hasta--%Sata-ucSrayAt %Sata-#yuge vApIm kapiH kaH api
   @agāt @uttīrya atha paras drutam śruti-pathena @uḍḍīya kimcit drumāt/	@agAt @uttIrya aTa paraH drutam Sruti-paTena @uxxIya kimcid drumAt/
   Lil_157c/ jātā evam samatā tayos yadi gatau uḍḍīna-mānam kiyat vidvan ced	Lit-_157c/ jAtAH evam sama-tA tayoH yadi gatO uxxIna-mAnam kiyat vidvan ced-
   su-pariśramas @asti gaṇite kṣipram tat @ācakṣva me//	su-pariSramaH @asti gaNite kzipram tat @a-Acakzva me//
   Lil_157p/ nyāsas/ vṛkṣa-vāpī-antaram 200/ vṛkṣa-ucchrāyas 100/ kabdham	Lit-_157p/ nyAsas/ vRkza--vApI-antaram 200/ vRkza-ucCrAyaH 100/ kabDam
   uḍḍīna-mānam 50/ koṭis 150/ karṇas 250/ bhujas 200// bhuja-koṭyos yoge	uxxIna-mAnam 50/ kowiH 150/ karNaH 250/ BujaH 200// Buja--kowyoH yoge
   karṇe ca jñāte pṛthak-karaṇa-sūtram vṛttam/	karNe ca jQAte pRTak-karaNa-sUtram vRttam/
   Lil_158a/ karṇasya vargāt %dvi-guṇāt viśodhyas dos-koṭi-yogas sva-guṇas	Lit-_158a/ karNasya vargAt %dvi-guNAt viSoDyaH dos--kowi-yogaH sva--guNa-s
   asya mūlam/	asya mUlam/
   Lil_158c/ yogas dvidhā mūla-vihīna-yuktas @syātām tad-%ardhe	Lit-_158c/ yogaH dviDA mUla--vihIna-yuktaH @syAtAm tad--%arDe
   bhuja-koṭi-māne//	Buja--kowi-mAne//
   Lil_158p/ udāharaṇam/	Lit-_158p/ udAharaNam/
   Lil_159a/ %daśa %sapta-adhikas karṇas %tri-adhikā %viṃśatis sakhe/	Lit-_159a/ %daSa %sapta-aDikaH karNaH %tri--aDikA %viMSatiH saKe/
   Lil_159c/ bhuja-koṭi-yutis yatra tatra te me pṛthak @vada//	Lit-_159c/ Buja--kowi--yutiH yatra tatra te me pRTak @vada//
   Lil_159p/ nyāsas/ karṇas 17/ dos-koṭi-yogas 23/ jāte bhuja-koṭī 8/ 15//	Lit-_159p/ nyAsas/ karNaH 17/ dos--kowi-yogaH 23/ jAte Buja--kowI 8/ 15//
   udāharaṇam/	udAharaNam/
   Lil_160a/ dos-koṭyos antaram #śailās karṇas yatra %trayodaśa/	Lit-_160a/ dos--kowyoH antaram #SElAH karNaH yatra %trayodaSa/
   Lil_160c/ bhuja-koṭī pṛthak tatra @vada āśu gaṇaka-uttama//	Lit-_160c/ Buja--kowI pRTak tatra @vadaH ASu gaNaka-uttama//
   Lil_160p/ nyāsas/ karṇas 13/ bhuja-koṭi-antaram 7/ labdhe bhuja-koṭī 5/	Lit-_160p/ nyAsas/ karNaH 13/ Buja--kowi-antaram 7/ labDe Buja--kowI 5/
   12// lamba-avabādhā-jñānāya karaṇa-sūtram vṛttam/	12// lamba--ava-bADA--jQAnAya karaNa-sUtram vRttam/
   Lil_161a/ anyonya-mūla-agra-ga-sūtra-yogāt veṇvos vadhe yoga-hṛte	Lit-_161a/ anyonya--mUla-agra--ga-sUtra-yogAt veNvoH vaDe yoga-hRte
   avalambas/	avalambas/
   Lil_161c/ vaṃśau sva-yogena hṛtau abhīṣṭa-bhū-ghnau ca lamba-ubhayatas	Lit-_161c/ vaMSO sva--yogena hRtO aBIzwa--BU--GnO ca lamba--uBayatas
   ku-khaṇḍe//	ku-KaNxe//
   Lil_161p/ udāharaṇam/	Lit-_161p/ udAharaNam/
   Lil_162a/ %pañcadaśa-%daśa-kara-ucchraya-veṇvos ajñāta-madhya-bhūmikayos/	Lit-_162a/ %paQcadaSa--%da-Sa-kara-ucCraya--veNvoH ajQAta--maDya--BUmikayos/
   Lil_162c/ itaretara-mūla-agra-ga-sūtra-yutes lamba-mānam @ācakṣva//	Lit-_162c/ itaretara--mUla-agra--ga-sUtra--yuteH lamba-mAnam @Acakzva//
   Lil_162p/ nyāsas/ vaṃśau 15/ 10 jātas lambas 6/ vaṃśa-antara-bhūs 5/ atas	Lit-_162p/ nyAsas/ vaMSO 15/ 10 jAtaH lambaH 6/ vaMSa-antara--BUH 5/ atas-
   jāte bhū-khaṇḍe 3/2/ atha vā bhūs 10 khaṇḍe 6/4 vā bhūs 15/ khaṇḍe 9/6 vā	jAte BU--KaNxe 3/2/ aTa vA BUH 10 KaNxe 6/4 vA BUH 15/ KaNxe 9/6 vA
   bhūs 20 khaṇḍe 12/8// evam sarvatra lambas sas eva/ yadi atra bhūmi-tulye	BUH 20 KaNxe 12/8// evam sarvatra lambaH sas eva/ yadi atra BUmi--tulye
   bhuje vaṃśas koṭis tadā bhū-khaṇḍena kim iti trairāśikena sarvatra	Buje vaMSaH kowiH tadA BU--KaNxena kim iti trErASikena sarvatra
   pratītis// atha akṣetra-lakṣaṇa-sūtram/	pratIti-s// aTa akzetra--lakzaNa-sUtram/
   Lil_163a/ dhṛṣṭa-uddiṣṭam ṛju-bhuja-kṣetram yatra %eka-bāhutas su-alpā/	Lit-_163a/ DRzwa-uddizwam Rju--Buja--kzetram yatra %eka--bAhutas su-alpA/
   Lil_163c/ tad-itara-bhuja-yutis atha vā tulyā jñeyam tat akṣetram//	Lit-_163c/ tad--itara--Buja--yutiH aTa vA tulyA jQeyam tat akzetram//
   [āpaṭe: -yatis < -yutis]	[a-Apawe: -yatiH < -yutis]
   Lil_163p/ udāharaṇam/	Lit-_163p/ udAharaNam/
   Lil_164a/ %catur-asre %tri-%ṣaṣ-%dvi-#arkās bhujās %tri-asre	Lit-_164a/ %catur-asre %tri-%zaz-%dvi--#arkAH BujAH %tri-asre
   %tri-%ṣaṣ-%navās/	%tri-%zaz-%navAs/
   Lil_164c/ uddiṣṭās yatra dhṛṣṭena tat akṣetram @vinirdiśet// [āpaṭe:	Lit-_164c/ uddizwAH yatra DRzwena tat akzetram @vinirdiSet// [Apawe:
   dhaṣṭena < dhṛṣṭena]	Dazwena < DRzwena]
   Lil_164p/ ete anupapanne kṣetre/ bhuja-pramāṇās ṛju-śalākās bhuja-sthāneṣu	Lit-_164p/ ete anupapanne kzetre/ Buja--pramANAH Rju-SalAkAH Buja--sTAnezu
   @vinyasya anupapattis darśanīyā// [āpaṭe: anapapattis < anupapattis]	@vinyasya anupapattiH darSanIyA// [Apawe: anapapattiH < anupapattis]
   ābādhā-ādi-jñānāya karaṇa-sūtram āryā-%dvayam/	AbADA-a-Adi-jQAnAya karaNa-sUtram AryA-%-dvayam/
   Lil_165a/ %tri-bhuje bhujayos yogas tad-antara-guṇas bhuvā hṛtas labdhyā/	Lit-_165a/ %tri-Buje BujayoH yogaH tad--antara--guNaH BuvA hRtaH labDyA/
   Lil_165c/ %dvis-sthā bhūs ūna-yutā dalitā ābādhe tayos @syātām//	Lit-_165c/ %dvis-sTA BUH Una-yutAH dalitAH AbADe tayoH @syAtAm//
   Lil_166a/ sva-ābādhā-bhuja-kṛtyos antara-mūlam @prajāyate lambas/	Lit-_166a/ sva--AbADA--Buja--kRtyoH antara--mUlam @prajAyate lambas/
   Lil_166c/ lamba-guṇam bhūmi-%ardham spaṣṭam %tri-bhuje phalam @bhavati//	Lit-_166c/ lamba-guNam BUmi-%arDam spazwam %tri-Buje Palam @Bavati//
   Lil_166p/ udāharaṇam/	Lit-_166p/ udAharaNam/
   Lil_167a/ kṣetre mahī manu-mitā %tri-bhuje bhujau tu yatra	Lit-_167a/ kzetre mahI manu--mitAH %tri-Buje BujO tu yatra
   %trayodaśa-#tithi-pramitau ca yasya/	%trayodaSa-#tiTi--pramitO ca yasya/
   Lil_167c/ tatra avalambakam atho @kathaya avabādhe kṣipram tathā ca	Lit-_167c/ tatra avalambakam aTo @kaTaya avabADe kzipram taTA ca
   sama-koṣṭha-mitim phala-ākhyam//	sama-kozWa-mitim Pala-AKyam//
   Lil_167p/ nyāsas/ bhūs 14/ bhujau 13/15/ labdhe ābādhe 5/9/ lambaś ca 12/	Lit-_167p/ nyAsas/ BUH 14/ BujO 13/15/ labDe AbADe 5/9/ lambaH ca 12/
   kṣetra-phalam ca 84// ṛṇa-ābādhā-udāharaṇam/	kzetra-Palam ca 84// RNa-A-bADA--udAharaNam/
   Lil_168a/ %daśa-%saptadaśa-pramau hbujau %tri-bhuje yatra %nava-pramā	Lit-_168a/ %daSa-%-saptadaSa--pramO hbujO %tri-Buje yatra %nava--pramA
   mahī/	mahI/
   Lil_168c/ abadhe @vada lambakam tathā gaṇitam gāṇitika āśu tatra me//	Lit-_168c/ abaDe @vada lambakam taTA gaNitam gANitikaH ASu tatra me//
   Lil_168p/ nyāsas/ bhujau 10/17/ bhūmis 9/ atra %tri-bhuje bhujayos yogas	Lit-_168p/ nyAsas/ BujO 10/17/ BUmiH 9/ atra %tri-Buje BujayoH yoga-s
   iti-ādinā labdham 21/ anena bhūs ūnā na @syāt/ asmāt eva bhūs apanītā	iti-AdinA labDam 21/ anena BUH UnAH na @syAt/ asmAt eva BUH apanItA
   śeṣa-%ardham ṛṇa-gatā ābādhā diś-vaiparītyena iti arthas/ tathā jāte	Seza-%arDam RNa--gatAH AbADAH diS--vEparItyena iti arTas/ taTA jAte
   ābādhe 6/15/ atra ubhayatra api jātas lambas 8/ phalam 36//	AbADe 6/15/ atra uBayatra api jAtaH lambaH 8/ Palam 36//
   %catur-bhuja-%tri-bhujayos aspaṣṭa-phala-ānayane karaṇa-sūtram vṛttam/	%catur-Buja-%-tri-BujayoH aspazwa--Pala--Anayane karaNa-sUtram vRttam/
   Lil_169a/ sarva-dos-yuti-#dalam %catur-sthitam bāhubhis virahitam ca	Lit-_169a/ sarva--dos--yuti-#dalam %catur-sTitam bAhuBiH virahitam ca
   tad-vadhāt/	tad--vaDAt/
   Lil_169c/ mūlam asphuṭa-phalam %catur-bhuje spaṣṭam evam uditam	Lit-_169c/ mUlam asPuwa--Palam %catur-Buje spazwam evam uditam
   %tri-bāhuke//	%tri-bAhuke//
   Lil_169p/ udāharaṇam/	Lit-_169p/ udAharaNam/
   Lil_170a/ bhūmis %caturdaśa-mitā mukham #aṅka-saṃkhyam bāhū	Lit-_170a/ BUmiH %caturdaSa-mitA muKam #aFka--saMKyam bAhU
   %trayodaśa-#divākara-saṃmitau ca/	%trayodaSa-#divAkara--saMmitO ca/
   Lil_170c/ lambas api yatra #ravi-saṃkhyakas eva tatra kṣetre phalam	Lit-_170c/ lambaH api yatra #ravi-saMKyakaH eva tatra kzetre Palam
   @kathaya tat kathitam yat ādyais//	@kaTaya tat kaTitam yat AdyEs//
   Lil_170p/ nyāsas/ bhūmis 14/ mukham 9/ bāhū 13/ 12/ lambas 12/ ukta-vat	Lit-_170p/ nyAsas/ BUmiH 14/ muKam 9/ bAhU 13/ 12/ lambaH 12/ ukta--vat-
   karaṇena jātam kṣetra-phalam karaṇī 19800/ asyās padam kiṃcid-nyūnam	karaNena jAtam kzetra-Palam karaNI 19800/ asyAH padam kiMcid--nyUnam
   %ekacatvāriṃśacchatam 141/ idam atra kṣetre na vāstavam phalam kiṃtu	%ekacatvAriMSat-Satam 141/ idam atra kzetre na vAstavam Palam kiMtu
   lambena nighnam ku-mukha-aikya-#khaṇḍam iti vakṣyamāṇa-karaṇena vāstavam	lambena niGnam ku-muKa--Ekya--#KaNxam iti vakzyamANa--karaNena vAstavam
   phalam 138// atra %tri-bhujasya pūrva-udāhṛtasya nyāsas/ bhūmis 14/ bhujau	Palam 138// atra %tri-Bujasya pUrva--udAhRtasya nyAsas/ BUmiH 14/ BujO
   13/ 15/ anena api prakāreṇa %tri-bāhuke tat eva vāstavam phalam 84/ atra	13/ 15/ anena api prakAreNa %tri-bAhuke tat eva vAstavam Palam 84/ atra
   %catur-bhujasya aspaṣṭam uditam// atha sthūlatva-nirūpaṇa-artham sūtram	%catur-Bujasya aspazwam uditam// aTa sTUla-tva--nirUpaNa--arTam sUtram
   sa-%ardha-vṛttam/	sa-%arDa-vRttam/
   Lil_171a/ %catur-bhujasya aniyatau hi karṇau katham tatas asmin niyatam	Lit-_171a/ %catur-Bujasya aniyatO hi karNO kaTam tatas asmin niyatam
   phalam @syāt/	Palam @syAt-/
   Lil_171c/ prasādhitau tad-śravaṇau yat ādyais sva-kalpitau tau itaratra na	Lit-_171c/ prasADitO tad--SravaNO yat AdyEH sva--kalpitO tO itaratra na
   @stas/	@stas/
   Lil_171e/ teṣu eva bāhuṣu aparau ca karṇau anekadhā kṣetra-phalam tatas	Lit-_171e/ tezu eva bAhuzu aparO ca karNO anekaDA kzetra-Palam tatas-
   ca//	ca//
   Lil_171p1/ %catur-bhuje hi %eka-antara-koṇau @ākramya antar-praveśyamānau	Lit-_171p1/ %catur-Buje hi %eka-antara--koNO @A-Akramya antar--praveSyamAnO
   bhujau tad-saṃsaktam sva-karṇam @saṃkocayatas/ itarau tu bahis-prasarantau	BujO tad--saMsaktam sva-karNam @saMkocayatas/ itarO tu bahis-prasarantO
   sva-karṇam @vardhayatas/ atas uktam teṣu eva bāhuṣu aparau ca karṇau iti//	sva-karNam @varDayatas/ atas uktam tezu eva bAhuzu aparO ca karNO iti//
   Lil_171ex.a/ lambayos karṇayos vā %ekam @anirdiśya aparam katham/	Lit-_171ex.a/ lambayoH karNayoH vA %ekam @anirdiSya aparam kaTam/
   Lil_171ex.c/ @pṛcchati aniyatatve api niyatam ca api tad-phalam//	Lit-_171ex.c/ @pRcCati aniyata-tve api niyatam ca api tad--Palam//
   Lil_171ex.e/ sas pṛcchakas piśācas vā vaktā vā nitarām tatas/	Lit-_171ex.e/ saH pRcCakaH piSAcaH vA vaktA vA nitarAm tatas-/
   Lil_171ex.g/ yas na @vetti %catur-bāhu-kṣetrasya aniyatām sthitim// [no	Lit-_171ex.g/ yaH na @vetti %catur-bAhu--kzetrasya aniyatAm sTitim// [no
   numbers are given to these two śloka stanśas in āpaṭe.]	numbeH-H are givet taH Tese twaH Sloka stanSaH id Apawe.]
   Lil_171p2/ sama-catur-bhuja-āyatayos phala-ānayane karaṇa-sūtram	Lit-_171p2/ sama-catur-Buja-AyatayoH Pala--Anayane karaNa-sUtram
   sa-ardha-śloka-dvayam/	sa-arDa-Sloka--dvayam/
   Lil_172a/ iṣṭā śrutis tulya-%catur-bhujasya kalpyā atha	Lin-_172a/ izwA SrutiH tulya--%catur-Bujasya kalpyAH aTa
   tad-varga-vivarjitā yā/	tad--varga--vivarjitA yA/
   Lil_172c/ %catur-guṇā bāhu-kṛtis tadīyam mūlam %dvitīya-śravaṇa-pramāṇam//	Lit-_172c/ %catur-guNA bAhu-kRtiH tadIyam mUlam %dvitIya--SravaNa--pramANam//
   Lil_173a/ atulya-karṇa-abhihatis %dvi-bhaktā phalam sphuṭam	Lit-_173a/ atulya-karNa--aBihatiH %dvi-BaktA Palam sPuwam
   tulya-%catur-bhuje @syāt/	tulya-%catur-Buje @syAt-/
   Lil_173c/ sama-śrutau tulya-%catur-bhuje ca tathā āyate	Lit-_173c/ sama-SrutO tulya-%catur-Buje ca taTA Ayate
   tad-bhuja-koṭi-ghātas/	tad--Buja--kowi-GAta-s/
   Lil_173e/ %catur-bhuje anyatra samāna-lambe lambena nighnam	Lit-_173e/ %catur-Buje anyatra samAna--lambe lambena niGnam
   ku-mukha-aikya-#khaṇḍam//	ku-muKa--Ekya--#KaNxam//
   Lil_173p/ atra uddeśakas/	Lit-_173p/ atra uddeSakas/
   Lil_174a/ kṣetrasya %pañca-kṛti-tulya-%catur-bhujasya karṇau tatas ca	Lit-_174a/ kzetrasya %paQca--kRti--tulya--%catur-Bujasya karNO tatas ca
   gaṇitam gaṇaka @pracakṣva/	gaNitam gaNakaH @pracakzva/
   Lil_174c/ tulya-śrutes ca khalu tasya tathā āyatasya yad-vistṛtis	Lit-_174c/ tulya--SruteH ca Kalu tasya taTA Ayatasya yat--vistRtiH-
   #rasa-mitā %aṣṭa-mitam ca dairghyam//	#rasa-mitAH %azwa-mitam ca dErGyam//
   Lil_174p/ %prathama-udāharaṇe nyāsas [fig.3]/ bhujās 25/ 25/ 25/ 25/ atra	Lit-_174p/ %praTama--udAharaNe nyAsaH [fig.3]/ BujAH 25/ 25/ 25/ 25/ atra
   %triṃśat-30-mitām %ekām śrutim @prakalpya yathā-ukta-prakāreṇa jātā anyā	%triMSat-30-mitAm %ekAm Srutim @prakalpya yaTA-a-ukta--prakAreNa jAtA anyA
   śrutis 40/ phalam ca 600// atha vā/ nyāsas [fig.4]/ %caturdaśa-14-mitām	SrutiH 40/ Palam ca 600// aTa vA/ nyAsaH [fig.4]/ %caturdaSa--14-mitAm
   %ekām śrutim @prakalpya ukta-vat-karaṇena jātā anyā śrutis 48/ phalam ca	%ekAm Srutim @prakalpya ukta-vat-karaNena jAtAH anyA SrutiH 48/ Palam ca
   336// %dvitīya-udāharaṇe nyāsas [fig.5]/ tad-kṛtyos yoga-padam	336// %dvitIya--udAharaNe nyAsaH [fig.5]/ tad--kRtyoH yoga-padam
   karṇa iti jātā karaṇī-gatā śrutis ubhayatra tulyā eva 1250/ gaṇitam ca	karNaH iti jAtA karaNI--gatA SrutiH uBayatra tulyAH eva 1250/ gaNitam ca
   625// atha āyatasya nyāsas/ vistṛtis 6/ dairghyam 8/ [fig.6] asya gaṇitam	625// aTa Ayatasya nyAsas/ vistRtiH 6/ dErGyam 8/ [fig.6] asya gaNitam
   48// udāharaṇam/	48// udAharaNam/
   Lil_175a/ kṣetrasya yasya vadanam #madanāri-tulyam viśvaṃbharā	Lit-_175a/ kzetrasya yasya vadanam #madanAri--tulyam viSvaMBarA
   %dvi-guṇitena mukhena tulyā/	%dvi-guNitena muKena tulyA/
   Lil_175c/ bāhū %trayodaśa-#nakha-pramitau ca lambas #sūrya-unmitas ca	Lit-_175c/ bAhU %trayodaSa--#naKa--pramitO ca lambaH #sUrya-unmitaH ca
   gaṇitam @vada tatra kim @syāt//	gaNitam @vada tatra kim @syAt//
   Lil_175p/ nyāsas/ vadanam 11/ viśvaṃbharā 22/ bāhū 13/ 20/ lambas 12/	Lit-_175p/ nyAsas/ vadanam 11/ viSvaMBarAH 22/ bAhU 13/ 20/ lambaH 12/
   [fig.7] atra sarva-dos-yuti-#dalam iti-ādinā sthūla-phalam 250/ vāstavam	[fig.7] atra sarva--dos-yuti-#dalam iti--AdinA sTUla-Palam 250/ vAstavam
   tu lambena nighnam ku-mukha-aikya-#khaṇḍam iti jātam phalam 198/ kṣetrasya	tu lambena niGnam ku-muKa--Ekya--#KaNxam iti jAtam Palam 198/ kzetrasya
   khaṇḍa-%trayam @kṛtvā phalāni pṛthak @ānīya aikyam @kṛtvā asya	KaNxa-%trayam @kRtvA PalAni pRTak @A-AnIya Ekyam @kRtvA asya
   phala-upapattis darśanīyā/ khaṇḍa-%traya-darśanam/	Pala--upapattiH darSanIyA/ KaNxa-%traya--darSanam/
   [fig.8a][fig.8b][fig.8c]	[fig.8a][fig.8b][fig.8c]
   nyāsas/ %prathamasya bhuja-koṭi-karṇās 5/ 12/ 13/ %dvitīyasya āyatasya	nyAsas/ %praTamasya Buja--kowi-karNAH 5/ 12/ 13/ %dvitIyasya Ayatasya
   vistṛtis 6/ dairghyam 12/ %tṛtīyasya bhuja-koṭi-karṇās 16/ 12/ 20/ atra	vistRtiH 6/ dErGyam 12/ %tRtIyasya Buja--kowi-karNAH 16/ 12/ 20/ atra
   %tri-bhujayos kṣetrayos bhuja-koṭi-ghāta-%ardham phalam/ āyate %catur-asre	%tri-BujayoH kzetrayoH Buja--kowi-GAta--%arDam Palam/ Ayate %catur-asre
   kṣetre tad-bhuja-koṭi-ghātas phalam / yathā %prathama-kṣetre phalam 30/	kzetre tad--Buja--kowi-GAtaH Palam / yaTA %praTama--kzetre Palam 30/
   %dvitīye 72/ %tṛtīye 96/ eṣām aikyam sarva-kṣetre phalam 198// atha	%dvitIye 72/ %tRtIye 96/ ezAm Ekyam sarva-kzetre Palam 198// aTa
   anyat udāharaṇam/	anyat udAharaNam/
   Lil_176a/ %pañcāśat %eka-sahitā vadanam yadīyam bhūs %pañcasaptati-mitā	Lit-_176a/ %paQcASat %eka--sahitA vadanam yadi-iyam BUH %paQca-saptati--mitA
   pramitas %aṣṭaṣaṣṭyā/	pramitaH %azwa-zazwyA/
   Lil_176c/ savyas bhujas %dvi-guṇa-%viṃśati-saṃmitas anyas tasmin phalam	Lit-_176c/ savyaH BujaH %dvi-guNa--%viMSati--saMmitaH anyaH tasmin Palam
   śravaṇa-lamba-mitī @pracakṣva//	SravaNa--lamba-mitI @pracakzva//
   Lil_176p/ nyāsas/ vadanam 51/ bhūmis 75/ bhujau 68/ 40// [fig.9] atra	Lit-_176p/ nyAsas/ vadanam 51/ BUmiH 75/ BujO 68/ 40// [fig.9] atra
   phala-avalamba-śrutīnām sūtram vṛtta-%ardham/	Pala--avalamba--SrutInAm sUtram vRtta--%arDam/
   Lil_177/ jñāte avalambe śravaṇas śrutau tu lambas phalam @syāt niyatam tu	Lit-_177/ jQAte avalambe SravaNaH SrutO tu lambaH Palam @syAt niyatam tu
   tatra//	tatra//
   Lil_177p/ karṇasya aniyatatvāt lambas api aniyatas iti arthas//	Lit-_177p/ karNasya aniyata-tvAt lambaH api aniyataH iti arTas//
   lamba-jñānāya karaṇa-sūtram vṛtta-%ardham/	lamba--jQAnAya karaNa-sUtram vRtta--%arDam/
   Lil_178/ %catur-bhuja-antar-%tri-bhuje avalambas prāk-vat bhujau	Lit-_178/ %catur-Buja--antar-%tri-Buje avalambaH prAk---vat BujO
   karṇa-bhujau mahī bhūs//	karNa--BujO mahI BUs//
   Lil_178p/ atra lamba-jñāna-artham savya-bhuja-agrāt	Lit-_178p/ atra lamba--jQAna--arTam savya--Buja--agrAt-
   dakṣiṇa-bhuja-mūla-gāmī iṣṭa-karṇas %saptasaptati-mitas kalpitas tena	dakziNa--Buja--mUla--gAmI izwa-karNaH %sapta-saptati-mitas kalpitaH tena
   %catur-bhuja-antar-%tri-bhujam kalpitam tatra asau karṇa %ekas bhujas 77/	%catur-Buja--antar-%tri-Bujam kalpitam tatra asO karNa %ekaH BujaH 77/
   %dvitīyas tu savya-bhujas 68/ bhūs sā eva 75/ atra prāk-vat labdhas lambas	%dvitIyaH tu savya-BujaH 68/ BUH sA eva 75/ atra prAk---vat labDaH lambas
   308_5// lambe jñāte karṇa-jñāna-artham sūtram vṛttam/	308_5// lambe jQAte karNa--jQAna--arTam sUtram vRttam/
   Lil_179a/ yat lamba-lamba-āśrita-bāhu-varga-viśleṣa-mūlam kathitā	Lit-_179a/ yat lamba--lamba-a-ASrita-bAhu--varga--viSleza--mUlam kaTitA
   avabādhā/	avabADA/
   Lil_179c/ tad-ūna-bhū-varga-samanvitasya yat lamba-vargasya padam sas	Lit-_179c/ tad--Una--BU-varga--samanvitasya yat lamba--vargasya padam sa-s
   karṇas//	karNas//
   Lil_179p/ [fig.10] atra savya-bhuja-agrāt lambas kila kalpitas 308_5/ atas	Lit-_179p/ [fig.10] atra savya--Buja--agrAt lambaH kila kalpitaH 308_5/ atas-
   jātā ābādhā 144_5 tad-ūna-bhū-varga-samanvitasya iti-ādinā jātas karṇas	jAtAH AbADAH 144_5 tad--Una--BU-varga--samanvitasya iti--AdinA jAtaH karNa-s
   77// %dvitīya-karṇa-jñāna-artham sūtram vṛtta-%dvayam/	77// %dvitIya--karNa--jQAna--arTam sUtram vRtta-%-dvayam/
   Lil_180a/ iṣṭas atra karṇas %prathamam prakalpyas %tri-asre tu	Lit-_180a/ izwaH atra karNaH %praTamam prakalpyaH %tri-asre tu
   karṇa-ubhayatas sthite ye/	karNa--uBayatas sTite ye/
   Lil_180c/ karṇam tayos kṣmām itarau ca bāhū @prakalpya lamba-avabadhe ca	Lit-_180c/ karNam tayoH kzmAm itarO ca bAhU @prakalpya lamba--avabaDe ca
   sādhye//	sADye//
   Lil_181a/ ābādhayos %eka-kakubh-sthayos yat @syāt antaram tat	Lit-_181a/ AbADayoH %eka-kakuB-sTayoH yat @syAt antaram tat-
   kṛti-saṃyutasya/	kRti--saMyutasya/
   Lil_181c/ lamba-aikya-vargasya padam %dvitīyas karṇas @bhavet	Lit-_181c/ lamba--a-Ekya--vargasya padam %dvitIyaH karNaH @Bavet-
   sarva-%catur-bhujeṣu//	sarva-%catur-Buja-izu//
   Lil_181p/ nyāsas/ tatra %catur-bhuje savya-bhuja-agrāt	Lit-_181p/ nyAsas/ tatra %catur-Buje savya--Buja--agrAt-
   dakṣiṇa-bhuja-mūla-gāminas karṇasya mānam kalpitam 77/	dakziNa--Buja--mUla-gAminaH karNasya mAnam kalpitam 77/
   tad-karṇa-rekhā-avacchinnasya kṣetrasya madhye karṇa-rekhā-ubhayatas ye	tad--karNa--reKA-a--avacCinnasya kzetrasya maDye karNa-reKA---uBayatas ye
   %tri-asre utpanne tayos karṇam bhūmim tad-itarau ca bhujau @prakalpya	%tri-asre utpanne tayoH karNam BUmim tad--itarO ca BujO @prakalpya
   prāk-vat lambas ābādhā ca sādhitā/ tad-darśanam [fig.11] lambas 60/	prAk--vat lambaH AbADA ca sADitA/ tad--darSanam [fig.11] lambaH 60/
   %dvitīya-lambas 24/ ābādhayos 45/	%dvitIya--lambaH 24/ AbADayoH 45/
   32/ %eka-kakubh-sthayos antarasya 13/ kṛtes 169 lamba-aikya-84-kṛtes 7056	32/ %eka-kakuB-sTayoH antarasya 13/ kRteH 169 lamba-a-Ekya--84-kRteH 7056
   ca yogas 7225/ tasya padam %dvitīya-karṇa-pramāṇam 85// [fig.12] atra	ca yogaH 7225/ tasya padam %dvitIya--karNa--pramANam 85// [fig.12] atra
   iṣṭa-karṇa-kalpane viśeṣa-ukti-sūtram sa-%ardha-vṛttam/	izwa-karNa-kalpane viSeza--ukti--sUtram sa-%arDa-vRttam/
   Lil_182a/ karṇa-āśrita-su-alpa-bhuja-aikyam urvīm @prakalpya	Lit-_182a/ karNa-ASrita--su--alpa--Buja--Ekyam urvIm @prakalpya
   tad-śeṣa-bhujau ca bāhū/	tad--Seza--BujO ca bAhU/
   Lil_182c/ sādhyas avalambas atha tathā anya-karṇas sva-urvyās katham-cit	Lit-_182c/ sADyaH avalambaH aTa taTA anya-karNaH sva--urvyAH kaTam--cid-
   śravaṇas na dīrghas/	SravaNaH na dIrGas/
   Lil_182e/ tad-anya-lambāt na laghus tathā idam @jñātvā iṣṭa-karṇas sudhiyā	Lit-_182e/ tad--anya-lambAt na laGuH taTA idam @jQAtvA izwa-karNaH suDiyA
   prakalpyas//	prakalpyas//
   Lil_182p/ %catur-bhuje hi %eka-antara-koṇau @ākramya saṃkocyamānam	Lit-_182p/ %catur-Buje hi %eka-antara--koNO @A-Akramya saMkocyamAnam
   %tri-bhujatvam @yāti/ tatra %eka-koṇe lagna-laghu-bhujayos aikyam bhūmim	%tri-Buja-tvam @yAti/ tatra %eka-koNe lagna--laGu-BujayoH Ekyam BUmim
   itarau bhujau ca @prakalpya tad-lambāt ūnas saṃkocyamānas karṇas	itarO BujO ca @prakalpya tat--lambAt UnaH saMkocyamAnaH karNa-s
   katham-cit api na @syāt tad-itaras bhūmes adhikas na @syāt evam ubhayathā	kaTam-cid api na @syAt tad--itaraH BUmeH aDikaH na @syAt evam uBayaTA
